iterations,exploration,score
100,0.001,45
100,0.001,31
100,0.001,37
100,0.001,28
100,0.001,38
100,0.001,32
100,0.001,45
100,0.001,37
100,0.001,38
100,0.001,36
100,0.01,38
100,0.01,35
100,0.01,47
100,0.01,41
100,0.01,37
100,0.01,37
100,0.01,39
100,0.01,39
100,0.01,38
100,0.01,33
100,0.01,41
100,0.01,32
100,0.01,30
100,0.01,36
100,0.01,38
100,0.01,35
100,0.01,17
100,0.01,26
100,0.01,30
100,0.01,38
100,0.15,37
100,0.15,40
100,0.15,41
100,0.15,37
100,0.15,37
100,0.15,32
100,0.15,31
100,0.15,26
100,0.15,45
100,0.15,37
100,0.2,33
100,0.2,44
100,0.2,39
100,0.2,31
100,0.2,32
100,0.2,42
100,0.2,34
100,0.2,44
100,0.2,34
100,0.2,35
100,0.25,46
100,0.25,42
100,0.25,41
100,0.25,39
100,0.25,31
100,0.25,38
100,0.25,30
100,0.25,40
100,0.25,35
100,0.25,40
100,0.35,35
100,0.35,35
100,0.35,38
100,0.35,37
100,0.35,36
100,0.35,41
100,0.35,34
100,0.35,34
100,0.35,31
100,0.35,35
100,0.433,38
100,0.433,36
100,0.433,39
100,0.433,35
100,0.433,28
100,0.433,40
100,0.433,38
100,0.433,32
100,0.433,30
100,0.433,40
100,0.5,44
100,0.5,34
100,0.5,29
100,0.5,31
100,0.5,34
100,0.5,29
100,0.5,37
100,0.5,24
100,0.5,43
100,0.5,39
100,1,37
100,1,33
100,1,39
100,1,37
100,1,37
100,1,37
100,1,46
100,1,43
100,1,35
100,1,40
100,1.5,45
100,1.5,41
100,1.5,33
100,1.5,36
100,1.5,42
100,1.5,28
100,1.5,39
100,1.5,35
100,1.5,34
100,1.5,38
100,1.75,34
100,1.75,36
100,1.75,47
100,1.75,31
100,1.75,36
100,1.75,35
100,1.75,37
100,1.75,40
100,1.75,34
100,1.75,35
100,2,29
100,2,33
100,2,36
100,2,37
100,2,30
100,2,38
100,2,25
100,2,36
100,2,43
100,2,33
100,2.25,34
100,2.25,25
100,2.25,35
100,2.25,33
100,2.25,28
100,2.25,33
100,2.25,38
100,2.25,41
100,2.25,38
100,2.25,23
100,2.5,40
100,2.5,41
100,2.5,42
100,2.5,39
100,2.5,37
100,2.5,40
100,2.5,40
100,2.5,37
100,2.5,30
100,2.5,42
100,3,36
100,3,43
100,3,41
100,3,39
100,3,36
100,3,40
100,3,42
100,3,36
100,3,32
100,3,44
100,4,36
100,4,38
100,4,34
100,4,23
100,4,34
100,4,35
100,4,35
100,4,36
100,4,39
100,4,29
100,5,31
100,5,43
100,5,30
100,5,39
100,5,42
100,5,37
100,5,38
100,5,32
100,5,35
100,5,34
100,6,39
100,6,38
100,6,41
100,6,36
100,6,32
100,6,33
100,6,41
100,6,41
100,6,43
100,6,34
1000,0.001,42
1000,0.001,51
1000,0.001,44
1000,0.001,43
1000,0.001,45
1000,0.001,46
1000,0.001,43
1000,0.001,48
1000,0.001,52
1000,0.001,40
1000,0.01,38
1000,0.01,47
1000,0.01,48
1000,0.01,45
1000,0.01,47
1000,0.01,48
1000,0.01,48
1000,0.01,44
1000,0.01,53
1000,0.01,51
1000,0.01,43
1000,0.01,43
1000,0.01,40
1000,0.01,44
1000,0.01,47
1000,0.01,55
1000,0.01,39
1000,0.01,50
1000,0.01,52
1000,0.01,43
1000,0.15,48
1000,0.15,48
1000,0.15,49
1000,0.15,44
1000,0.15,51
1000,0.15,48
1000,0.15,51
1000,0.15,53
1000,0.15,48
1000,0.15,52
1000,0.2,48
1000,0.2,47
1000,0.2,47
1000,0.2,41
1000,0.2,43
1000,0.2,43
1000,0.2,48
1000,0.2,47
1000,0.2,44
1000,0.2,51
1000,0.25,48
1000,0.25,53
1000,0.25,47
1000,0.25,44
1000,0.25,48
1000,0.25,46
1000,0.25,40
1000,0.25,49
1000,0.25,49
1000,0.25,49
1000,0.35,51
1000,0.35,50
1000,0.35,44
1000,0.35,49
1000,0.35,48
1000,0.35,49
1000,0.35,48
1000,0.35,46
1000,0.35,53
1000,0.35,44
1000,0.433,53
1000,0.433,45
1000,0.433,47
1000,0.433,53
1000,0.433,50
1000,0.433,45
1000,0.433,49
1000,0.433,48
1000,0.433,48
1000,0.433,46
1000,0.5,47
1000,0.5,45
1000,0.5,44
1000,0.5,51
1000,0.5,50
1000,0.5,49
1000,0.5,45
1000,0.5,57
1000,0.5,49
1000,0.5,47
1000,1,50
1000,1,55
1000,1,40
1000,1,49
1000,1,49
1000,1,51
1000,1,46
1000,1,35
1000,1,50
1000,1,50
1000,1.5,46
1000,1.5,51
1000,1.5,49
1000,1.5,44
1000,1.5,42
1000,1.5,46
1000,1.5,50
1000,1.5,50
1000,1.5,48
1000,1.5,49
1000,1.75,50
1000,1.75,53
1000,1.75,48
1000,1.75,49
1000,1.75,47
1000,1.75,54
1000,1.75,43
1000,1.75,45
1000,1.75,41
1000,1.75,49
1000,2,44
1000,2,50
1000,2,35
1000,2,45
1000,2,52
1000,2,45
1000,2,49
1000,2,50
1000,2,42
1000,2,47
1000,2.25,48
1000,2.25,50
1000,2.25,44
1000,2.25,46
1000,2.25,44
1000,2.25,50
1000,2.25,37
1000,2.25,47
1000,2.25,49
1000,2.25,57
1000,2.5,47
1000,2.5,48
1000,2.5,48
1000,2.5,45
1000,2.5,42
1000,2.5,43
1000,2.5,53
1000,2.5,47
1000,2.5,45
1000,2.5,47
1000,3,43
1000,3,44
1000,3,46
1000,3,52
1000,3,48
1000,3,43
1000,3,51
1000,3,49
1000,3,50
1000,3,51
1000,4,49
1000,4,46
1000,4,52
1000,4,46
1000,4,49
1000,4,42
1000,4,52
1000,4,43
1000,4,46
1000,4,48
1000,5,48
1000,5,45
1000,5,46
1000,5,47
1000,5,49
1000,5,52
1000,5,57
1000,5,45
1000,5,51
1000,5,45
1000,6,50
1000,6,43
1000,6,51
1000,6,53
1000,6,47
1000,6,48
1000,6,43
1000,6,43
1000,6,45
1000,6,37
100,0.001,43
100,0.001,32
100,0.001,34
100,0.001,39
100,0.001,48
100,0.001,32
100,0.001,41
100,0.001,38
100,0.001,40
100,0.001,30
100,0.01,39
100,0.01,39
100,0.01,39
100,0.01,40
100,0.01,25
100,0.01,30
100,0.01,30
100,0.01,29
100,0.01,33
100,0.01,35
100,0.01,35
100,0.01,26
100,0.01,42
100,0.01,39
100,0.01,34
100,0.01,38
100,0.01,26
100,0.01,38
100,0.01,29
100,0.01,41
100,0.15,35
100,0.15,33
100,0.15,40
100,0.15,36
100,0.15,33
100,0.15,26
100,0.15,37
100,0.15,31
100,0.15,29
100,0.15,44
100,0.2,40
100,0.2,19
100,0.2,25
100,0.2,28
100,0.2,46
100,0.2,35
100,0.2,44
100,0.2,36
100,0.2,29
100,0.2,34
100,0.25,29
100,0.25,34
100,0.25,36
100,0.25,37
100,0.25,40
100,0.25,42
100,0.25,38
100,0.25,39
100,0.25,29
100,0.25,39
100,0.35,41
100,0.35,32
100,0.35,31
100,0.35,31
100,0.35,45
100,0.35,36
100,0.35,29
100,0.35,30
100,0.35,42
100,0.35,35
100,0.433,43
100,0.433,45
100,0.433,38
100,0.433,42
100,0.433,41
100,0.433,40
100,0.433,33
100,0.433,31
100,0.433,40
100,0.433,36
100,0.5,35
100,0.5,30
100,0.5,34
100,0.5,35
100,0.5,45
100,0.5,45
100,0.5,33
100,0.5,42
100,0.5,35
100,0.5,41
100,1,33
100,1,37
100,1,34
100,1,34
100,1,36
100,1,41
100,1,30
100,1,38
100,1,30
100,1,41
100,1.5,32
100,1.5,30
100,1.5,38
100,1.5,35
100,1.5,31
100,1.5,37
100,1.5,31
100,1.5,42
100,1.5,36
100,1.5,39
100,1.75,34
100,1.75,23
100,1.75,30
100,1.75,35
100,1.75,29
100,1.75,33
100,1.75,36
100,1.75,39
100,1.75,32
100,1.75,37
100,2,37
100,2,45
100,2,34
100,2,37
100,2,41
100,2,40
100,2,37
100,2,42
100,2,32
100,2,39
100,2.25,37
100,2.25,47
100,2.25,34
100,2.25,22
100,2.25,42
100,2.25,28
100,2.25,41
100,2.25,36
100,2.25,36
100,2.25,36
100,2.5,32
100,2.5,36
100,2.5,37
100,2.5,38
100,2.5,46
100,2.5,36
100,2.5,33
100,2.5,27
100,2.5,35
100,2.5,33
100,3,46
100,3,27
100,3,33
100,3,36
100,3,30
100,3,26
100,3,38
100,3,39
100,3,38
100,3,39
100,4,18
100,4,28
100,4,43
100,4,29
100,4,38
100,4,22
100,4,38
100,4,35
100,4,37
100,4,35
100,5,39
100,5,35
100,5,39
100,5,31
100,5,42
100,5,36
100,5,39
100,5,29
100,5,39
100,5,29
100,6,41
100,6,35
100,6,35
100,6,36
100,6,27
100,6,42
100,6,31
100,6,23
100,6,14
100,6,31
1000,0.001,46
1000,0.001,50
1000,0.001,49
1000,0.001,45
1000,0.001,40
1000,0.001,47
1000,0.001,42
1000,0.001,47
1000,0.001,46
1000,0.001,48
1000,0.01,54
1000,0.01,42
1000,0.01,43
1000,0.01,48
1000,0.01,48
1000,0.01,45
1000,0.01,46
1000,0.01,47
1000,0.01,41
1000,0.01,44
1000,0.01,49
1000,0.01,51
1000,0.01,49
1000,0.01,46
1000,0.01,52
1000,0.01,44
1000,0.01,50
1000,0.01,52
1000,0.01,44
1000,0.01,48
1000,0.15,41
1000,0.15,45
1000,0.15,44
1000,0.15,54
1000,0.15,48
1000,0.15,52
1000,0.15,51
1000,0.15,52
1000,0.15,45
1000,0.15,52
1000,0.2,49
1000,0.2,48
1000,0.2,51
1000,0.2,53
1000,0.2,47
1000,0.2,56
1000,0.2,50
1000,0.2,49
1000,0.2,48
1000,0.2,51
1000,0.25,46
1000,0.25,44
1000,0.25,48
1000,0.25,51
1000,0.25,49
1000,0.25,44
1000,0.25,42
1000,0.25,47
1000,0.25,47
1000,0.25,48
1000,0.35,47
1000,0.35,48
1000,0.35,50
1000,0.35,45
1000,0.35,49
1000,0.35,47
1000,0.35,49
1000,0.35,52
1000,0.35,51
1000,0.35,46
1000,0.433,53
1000,0.433,50
1000,0.433,47
1000,0.433,46
1000,0.433,48
1000,0.433,50
1000,0.433,48
1000,0.433,44
1000,0.433,50
1000,0.433,56
1000,0.5,46
1000,0.5,48
1000,0.5,48
1000,0.5,47
1000,0.5,44
1000,0.5,44
1000,0.5,49
1000,0.5,49
1000,0.5,49
1000,0.5,50
1000,1,48
1000,1,48
1000,1,43
1000,1,40
1000,1,47
1000,1,39
1000,1,50
1000,1,48
1000,1,47
1000,1,49
1000,1.5,46
1000,1.5,49
1000,1.5,47
1000,1.5,53
1000,1.5,52
1000,1.5,52
1000,1.5,44
1000,1.5,46
1000,1.5,48
1000,1.5,50
1000,1.75,45
1000,1.75,50
1000,1.75,47
1000,1.75,51
1000,1.75,45
1000,1.75,50
1000,1.75,51
1000,1.75,46
1000,1.75,48
1000,1.75,48
1000,2,40
1000,2,40
1000,2,43
1000,2,50
1000,2,47
1000,2,54
1000,2,49
1000,2,53
1000,2,49
1000,2,45
1000,2.25,44
1000,2.25,45
1000,2.25,49
1000,2.25,45
1000,2.25,52
1000,2.25,52
1000,2.25,46
1000,2.25,48
1000,2.25,48
1000,2.25,48
1000,2.5,51
1000,2.5,46
1000,2.5,43
1000,2.5,51
1000,2.5,48
1000,2.5,40
1000,2.5,47
1000,2.5,48
1000,2.5,48
1000,2.5,43
1000,3,49
1000,3,49
1000,3,44
1000,3,50
1000,3,46
1000,3,43
1000,3,42
1000,3,50
1000,3,49
1000,3,49
1000,4,38
1000,4,47
1000,4,48
1000,4,45
1000,4,42
1000,4,51
1000,4,51
1000,4,52
1000,4,48
1000,4,37
1000,5,48
1000,5,54
1000,5,49
1000,5,54
1000,5,50
1000,5,46
1000,5,51
1000,5,50
1000,5,42
1000,5,46
1000,6,40
1000,6,43
1000,6,46
1000,6,47
1000,6,46
1000,6,40
1000,6,45
1000,6,49
1000,6,48
1000,6,42
100,0.001,48
100,0.001,43
100,0.001,41
100,0.001,32
100,0.001,27
100,0.001,29
100,0.001,39
100,0.001,38
100,0.001,37
100,0.001,37
100,0.01,36
100,0.01,37
100,0.01,45
100,0.01,40
100,0.01,17
100,0.01,29
100,0.01,41
100,0.01,35
100,0.01,42
100,0.01,45
100,0.01,36
100,0.01,39
100,0.01,42
100,0.01,41
100,0.01,35
100,0.01,40
100,0.01,33
100,0.01,42
100,0.01,40
100,0.01,40
100,0.15,35
100,0.15,39
100,0.15,38
100,0.15,35
100,0.15,37
100,0.15,41
100,0.15,34
100,0.15,35
100,0.15,33
100,0.15,49
100,0.2,37
100,0.2,29
100,0.2,34
100,0.2,32
100,0.2,41
100,0.2,36
100,0.2,39
100,0.2,35
100,0.2,34
100,0.2,34
100,0.25,35
100,0.25,35
100,0.25,32
100,0.25,37
100,0.25,33
100,0.25,36
100,0.25,32
100,0.25,44
100,0.25,29
100,0.25,42
100,0.35,41
100,0.35,37
100,0.35,25
100,0.35,42
100,0.35,45
100,0.35,33
100,0.35,44
100,0.35,39
100,0.35,39
100,0.35,37
100,0.433,40
100,0.433,29
100,0.433,27
100,0.433,31
100,0.433,32
100,0.433,30
100,0.433,34
100,0.433,29
100,0.433,36
100,0.433,32
100,0.5,37
100,0.5,29
100,0.5,24
100,0.5,41
100,0.5,40
100,0.5,35
100,0.5,38
100,0.5,31
100,0.5,34
100,0.5,38
100,1,36
100,1,36
100,1,38
100,1,34
100,1,39
100,1,40
100,1,42
100,1,27
100,1,29
100,1,35
100,1.5,34
100,1.5,36
100,1.5,36
100,1.5,42
100,1.5,32
100,1.5,45
100,1.5,45
100,1.5,41
100,1.5,41
100,1.5,33
100,1.75,45
100,1.75,39
100,1.75,38
100,1.75,46
100,1.75,46
100,1.75,42
100,1.75,28
100,1.75,36
100,1.75,25
100,1.75,31
100,2,35
100,2,34
100,2,41
100,2,38
100,2,44
100,2,36
100,2,44
100,2,24
100,2,34
100,2,34
100,2.25,40
100,2.25,41
100,2.25,34
100,2.25,41
100,2.25,40
100,2.25,34
100,2.25,36
100,2.25,42
100,2.25,44
100,2.25,36
100,2.5,41
100,2.5,37
100,2.5,41
100,2.5,45
100,2.5,46
100,2.5,33
100,2.5,34
100,2.5,35
100,2.5,34
100,2.5,41
100,3,40
100,3,41
100,3,24
100,3,27
100,3,36
100,3,36
100,3,28
100,3,33
100,3,35
100,3,41
100,4,33
100,4,34
100,4,44
100,4,32
100,4,32
100,4,43
100,4,35
100,4,37
100,4,43
100,4,39
100,5,26
100,5,40
100,5,32
100,5,28
100,5,31
100,5,30
100,5,32
100,5,27
100,5,35
100,5,43
100,6,40
100,6,42
100,6,39
100,6,35
100,6,21
100,6,34
100,6,31
100,6,39
100,6,31
100,6,46
1000,0.001,42
1000,0.001,44
1000,0.001,49
1000,0.001,46
1000,0.001,43
1000,0.001,43
1000,0.001,47
1000,0.001,45
1000,0.001,41
1000,0.001,50
1000,0.01,46
1000,0.01,52
1000,0.01,44
1000,0.01,44
1000,0.01,43
1000,0.01,49
1000,0.01,43
1000,0.01,48
1000,0.01,45
1000,0.01,47
1000,0.01,50
1000,0.01,45
1000,0.01,48
1000,0.01,44
1000,0.01,49
1000,0.01,48
1000,0.01,48
1000,0.01,51
1000,0.01,49
1000,0.01,43
1000,0.15,42
1000,0.15,55
1000,0.15,52
1000,0.15,53
1000,0.15,44
1000,0.15,55
1000,0.15,46
1000,0.15,46
1000,0.15,45
1000,0.15,47
1000,0.2,48
1000,0.2,49
1000,0.2,49
1000,0.2,41
1000,0.2,49
1000,0.2,53
1000,0.2,49
1000,0.2,47
1000,0.2,42
1000,0.2,48
1000,0.25,51
1000,0.25,45
1000,0.25,50
1000,0.25,48
1000,0.25,46
1000,0.25,40
1000,0.25,42
1000,0.25,47
1000,0.25,47
1000,0.25,42
1000,0.35,52
1000,0.35,51
1000,0.35,39
1000,0.35,45
1000,0.35,48
1000,0.35,56
1000,0.35,44
1000,0.35,51
1000,0.35,47
1000,0.35,48
1000,0.433,46
1000,0.433,43
1000,0.433,41
1000,0.433,45
1000,0.433,44
1000,0.433,51
1000,0.433,49
1000,0.433,47
1000,0.433,46
1000,0.433,47
1000,0.5,48
1000,0.5,42
1000,0.5,52
1000,0.5,46
1000,0.5,52
1000,0.5,44
1000,0.5,45
1000,0.5,45
1000,0.5,44
1000,0.5,48
1000,1,46
1000,1,43
1000,1,45
1000,1,54
1000,1,50
1000,1,37
1000,1,45
1000,1,53
1000,1,50
1000,1,42
1000,1.5,52
1000,1.5,40
1000,1.5,44
1000,1.5,51
1000,1.5,51
1000,1.5,44
1000,1.5,43
1000,1.5,44
1000,1.5,46
1000,1.5,51
1000,1.75,46
1000,1.75,43
1000,1.75,50
1000,1.75,43
1000,1.75,52
1000,1.75,50
1000,1.75,50
1000,1.75,53
1000,1.75,54
1000,1.75,48
1000,2,39
1000,2,47
1000,2,50
1000,2,50
1000,2,53
1000,2,47
1000,2,47
1000,2,44
1000,2,38
1000,2,44
1000,2.25,46
1000,2.25,47
1000,2.25,48
1000,2.25,48
1000,2.25,49
1000,2.25,47
1000,2.25,47
1000,2.25,47
1000,2.25,45
1000,2.25,48
1000,2.5,47
1000,2.5,49
1000,2.5,46
1000,2.5,48
1000,2.5,44
1000,2.5,48
1000,2.5,45
1000,2.5,53
1000,2.5,42
1000,2.5,48
1000,3,44
1000,3,54
1000,3,46
1000,3,43
1000,3,55
1000,3,50
1000,3,51
1000,3,45
1000,3,47
1000,3,45
1000,4,41
1000,4,48
1000,4,46
1000,4,53
1000,4,50
1000,4,46
1000,4,49
1000,4,44
1000,4,41
1000,4,53
1000,5,52
1000,5,44
1000,5,45
1000,5,44
1000,5,49
1000,5,46
1000,5,48
1000,5,50
1000,5,42
1000,5,42
1000,6,55
1000,6,46
1000,6,46
1000,6,54
1000,6,44
1000,6,52
1000,6,50
1000,6,52
1000,6,51
1000,6,48
100,0.001,44
100,0.001,35
100,0.001,36
100,0.001,38
100,0.001,29
100,0.001,38
100,0.001,27
100,0.001,36
100,0.001,43
100,0.001,46
100,0.01,36
100,0.01,32
100,0.01,45
100,0.01,34
100,0.01,42
100,0.01,42
100,0.01,31
100,0.01,42
100,0.01,39
100,0.01,25
100,0.01,45
100,0.01,38
100,0.01,35
100,0.01,45
100,0.01,41
100,0.01,42
100,0.01,34
100,0.01,41
100,0.01,38
100,0.01,41
100,0.15,34
100,0.15,31
100,0.15,44
100,0.15,33
100,0.15,30
100,0.15,39
100,0.15,32
100,0.15,31
100,0.15,34
100,0.15,34
100,0.2,27
100,0.2,38
100,0.2,33
100,0.2,36
100,0.2,34
100,0.2,37
100,0.2,34
100,0.2,31
100,0.2,32
100,0.2,41
100,0.25,39
100,0.25,38
100,0.25,34
100,0.25,34
100,0.25,40
100,0.25,26
100,0.25,34
100,0.25,27
100,0.25,32
100,0.25,43
100,0.35,40
100,0.35,39
100,0.35,30
100,0.35,37
100,0.35,37
100,0.35,30
100,0.35,41
100,0.35,30
100,0.35,36
100,0.35,40
100,0.433,30
100,0.433,35
100,0.433,36
100,0.433,37
100,0.433,41
100,0.433,31
100,0.433,34
100,0.433,44
100,0.433,48
100,0.433,34
100,0.5,31
100,0.5,41
100,0.5,32
100,0.5,40
100,0.5,32
100,0.5,38
100,0.5,29
100,0.5,39
100,0.5,30
100,0.5,31
100,1,40
100,1,39
100,1,36
100,1,26
100,1,39
100,1,36
100,1,33
100,1,28
100,1,37
100,1,32
100,1.5,37
100,1.5,30
100,1.5,41
100,1.5,33
100,1.5,45
100,1.5,39
100,1.5,40
100,1.5,47
100,1.5,41
100,1.5,37
100,1.75,33
100,1.75,39
100,1.75,35
100,1.75,32
100,1.75,42
100,1.75,35
100,1.75,35
100,1.75,42
100,1.75,36
100,1.75,27
100,2,38
100,2,32
100,2,33
100,2,34
100,2,36
100,2,40
100,2,29
100,2,37
100,2,27
100,2,27
100,2.25,27
100,2.25,34
100,2.25,39
100,2.25,39
100,2.25,37
100,2.25,34
100,2.25,37
100,2.25,45
100,2.25,40
100,2.25,36
100,2.5,33
100,2.5,33
100,2.5,27
100,2.5,34
100,2.5,38
100,2.5,36
100,2.5,29
100,2.5,30
100,2.5,32
100,2.5,37
100,3,28
100,3,38
100,3,37
100,3,31
100,3,32
100,3,45
100,3,39
100,3,38
100,3,36
100,3,41
100,4,42
100,4,31
100,4,36
100,4,42
100,4,34
100,4,41
100,4,38
100,4,33
100,4,42
100,4,35
100,5,37
100,5,30
100,5,23
100,5,43
100,5,36
100,5,36
100,5,36
100,5,43
100,5,40
100,5,31
100,6,34
100,6,46
100,6,42
100,6,39
100,6,41
100,6,33
100,6,28
100,6,36
100,6,38
100,6,29
1000,0.001,50
1000,0.001,47
1000,0.001,40
1000,0.001,38
1000,0.001,53
1000,0.001,45
1000,0.001,50
1000,0.001,44
1000,0.001,45
1000,0.001,46
1000,0.01,50
1000,0.01,60
1000,0.01,50
1000,0.01,49
1000,0.01,50
1000,0.01,50
1000,0.01,45
1000,0.01,52
1000,0.01,50
1000,0.01,48
1000,0.01,57
1000,0.01,47
1000,0.01,50
1000,0.01,50
1000,0.01,44
1000,0.01,40
1000,0.01,43
1000,0.01,47
1000,0.01,48
1000,0.01,48
1000,0.15,42
1000,0.15,52
1000,0.15,39
1000,0.15,47
1000,0.15,54
1000,0.15,49
1000,0.15,47
1000,0.15,41
1000,0.15,46
1000,0.15,39
1000,0.2,48
1000,0.2,49
1000,0.2,52
1000,0.2,48
1000,0.2,52
1000,0.2,45
1000,0.2,47
1000,0.2,48
1000,0.2,48
1000,0.2,43
1000,0.25,44
1000,0.25,48
1000,0.25,38
1000,0.25,44
1000,0.25,46
1000,0.25,44
1000,0.25,43
1000,0.25,47
1000,0.25,49
1000,0.25,43
1000,0.35,51
1000,0.35,39
1000,0.35,49
1000,0.35,40
1000,0.35,46
1000,0.35,39
1000,0.35,44
1000,0.35,54
1000,0.35,50
1000,0.35,54
1000,0.433,47
1000,0.433,50
1000,0.433,50
1000,0.433,51
1000,0.433,52
1000,0.433,45
1000,0.433,33
1000,0.433,50
1000,0.433,44
1000,0.433,51
1000,0.5,49
1000,0.5,45
1000,0.5,44
1000,0.5,44
1000,0.5,45
1000,0.5,51
1000,0.5,45
1000,0.5,49
1000,0.5,49
1000,0.5,46
1000,1,51
1000,1,46
1000,1,49
1000,1,43
1000,1,48
1000,1,46
1000,1,51
1000,1,49
1000,1,50
1000,1,50
1000,1.5,43
1000,1.5,45
1000,1.5,47
1000,1.5,45
1000,1.5,53
1000,1.5,45
1000,1.5,48
1000,1.5,49
1000,1.5,50
1000,1.5,48
1000,1.75,46
1000,1.75,44
1000,1.75,49
1000,1.75,48
1000,1.75,47
1000,1.75,50
1000,1.75,46
1000,1.75,50
1000,1.75,43
1000,1.75,54
1000,2,47
1000,2,47
1000,2,46
1000,2,43
1000,2,47
1000,2,46
1000,2,42
1000,2,45
1000,2,44
1000,2,43
1000,2.25,45
1000,2.25,47
1000,2.25,50
1000,2.25,50
1000,2.25,53
1000,2.25,47
1000,2.25,51
1000,2.25,46
1000,2.25,46
1000,2.25,49
1000,2.5,52
1000,2.5,46
1000,2.5,49
1000,2.5,50
1000,2.5,51
1000,2.5,41
1000,2.5,40
1000,2.5,38
1000,2.5,52
1000,2.5,47
1000,3,45
1000,3,35
1000,3,44
1000,3,49
1000,3,40
1000,3,47
1000,3,48
1000,3,49
1000,3,48
1000,3,50
1000,4,53
1000,4,45
1000,4,49
1000,4,43
1000,4,48
1000,4,46
1000,4,45
1000,4,46
1000,4,44
1000,4,50
1000,5,52
1000,5,45
1000,5,45
1000,5,44
1000,5,42
1000,5,44
1000,5,50
1000,5,49
1000,5,46
1000,5,38
1000,6,36
1000,6,46
1000,6,38
1000,6,53
1000,6,45
1000,6,54
1000,6,51
