place,visits,total
Place(4G094),14594,274618
Place(6D097),325,4586
Place(4E0E0),42,383
Place(5G040),2064,30019
Place(4A061),104745,1942003
Place(4B022),41201,764917
Place(4D070),204793,4120919
Place(6A0E2),330,3532
Place(3D021),189941,4074442
Place(4B0E2),187,1757
Place(0A0E3),290,2899
Place(2F095),1467,24657
Place(5C043),144145,3002215
Place(5B094),9741,170453
Place(1D022),10854,195197
Place(5C094),13566,240353
Place(2C0B3),130,1249
Place(3D010),98306,2160152
Place(5E091),19052,362029
Place(4C0E2),6,40
Place(5B061),138072,2831868
Place(0B070),72848,1208070
Place(4B0A2),6027,88097
Place(4D051),119463,2455060
Place(4A0E3),96,835
Place(6D082),1995,32860
Place(5F0F0),57,515
Place(6B020),661761,13466041
Place(0F0F0),300,3089
Place(2B0E2),297,3020
Place(1E030),204961,4351836
Place(5F097),1388,22939
Place(6A083),58071,1194752
Place(6B0B0),53495,832604
Place(6D080),10237,181250
Place(3E021),182388,3824243
Place(4E096),3751,68829
Place(5F0A1),1119,11923
Place(0F022),84903,1442854
Place(5E0E3),171,1562
Place(0E0E2),63,456
Place(6C070),55964,1002903
Place(6C051),36826,665270
Place(0F051),5892,89397
Place(1E0B2),251,2415
Place(2G013),13782,211755
Place(6C0C0),21822,354673
Place(1B0A2),424,4691
Place(6C0A3),1912,22265
Place(2F011),49065,980875
Place(4F0F0),132,1380
Place(0A0F1),78,785
Place(0B012),103047,1842528
Place(4B040),163634,3442916
Place(2G0A1),409,3859
Place(2A096),24341,461424
Place(4E092),17267,348410
Place(5C021),45009,826418
Place(3A0B1),2074,21841
Place(3B042),118979,2575694
Place(5E023),11885,205543
Place(2D094),39111,825150
Place(4D020),53880,1073618
Place(0C031),79031,1725223
Place(6D094),460,6966
Place(3E061),399475,9257276
Place(1E0E1),19227,338374
Place(2D043),133306,2876732
Place(0G053),258390,5648373
Place(3D060),491874,11449565
Place(0E020),109497,2128410
Place(6C020),176567,3706225
Place(4A021),42108,802864
Place(1A0A0),2471,26427
Place(4F041),69678,1392114
Place(6C083),33409,703511
Place(4D0B1),928,13245
Place(1G052),130614,2369130
Place(6F097),607,8203
Place(6D0C0),3177,34385
Place(5E042),79199,1576574
Place(2G0E0),29666,495141
Place(6C091),3144,53897
Place(2F0C0),18243,295415
Place(6D060),7342,117171
Place(3B0A2),643,6333
Place(5A0C0),2971,31467
Place(2F083),51650,1065179
Place(5A022),21881,373606
Place(3C021),96450,1919373
Place(0B020),118699,2174438
Place(3E082),209456,4638919
Place(2B0B1),326,3448
Place(0C041),74564,1495086
Place(3G0F1),101,897
Place(3A031),16540,265492
Place(0C011),15462,268753
Place(6C097),2146,32138
Place(1C097),3288,58970
Place(4C0D0),6595,104075
Place(1B040),87504,1691105
Place(5D013),104593,2231347
Place(2C021),355747,7709035
Place(1E081),230432,5124852
Place(6A011),546088,12426711
Place(6C010),680516,15886837
Place(1F042),96184,1867435
Place(3D040),308771,7118127
Place(0A0A3),647,7119
Place(5F011),47956,902893
Place(4B051),344247,7379177
Place(3A012),2369,35344
Place(1F052),40771,709206
Place(0C0A2),653,7088
Place(1D0A1),268,2850
Place(5G0E1),3354,38939
Place(6C0F0),581,6942
Place(2A041),20292,376500
Place(0E091),8801,155289
Place(1B083),64788,1276217
Place(0A0B2),618,6409
Place(3B023),89509,1686622
Place(2E083),123793,2704392
Place(4F082),165981,3653171
Place(3G071),46617,697362
Place(6E0B1),567,5793
Place(1C0A3),4877,66774
Place(1D095),21920,433998
Place(2G040),9436,147833
Place(3F023),149709,2845431
Place(0E021),12059,184529
Place(0B051),6515,99448
Place(5F030),82372,1662349
Place(3A011),1136,15020
Place(5C051),35464,649710
Place(0E095),5472,89382
Place(2B080),200111,4332009
Place(3F095),18844,384421
Place(3E0B3),237,2536
Place(1E092),6789,121919
Place(2A040),433313,9962020
Place(4C071),218178,4358912
Place(4B0E0),235,2568
Place(4A010),29644,586246
Place(1E020),85216,1665853
Place(5G050),1235,16087
Place(3B083),40246,816102
Roll,47413604,1003378051
Place(1B0B2),23275,349047
Place(5D092),12908,254626
Place(0C0B0),1389,16092
Place(3F0D0),1145,11326
Place(6E096),134467,2996823
Place(0E061),104562,2275008
Place(3G023),77867,1358037
Place(1A042),5724,89590
Place(3F071),110648,1995629
Place(4E050),282435,6062910
Place(3C083),245216,5596649
Place(6E097),14699,265631
Place(2E090),95253,2066530
Place(3E070),357024,7486026
Place(5C013),197594,4287779
Place(1D0E0),133,1261
Place(4E012),290626,6757163
Place(2C080),203421,4468149
Place(3D013),188990,4267405
Place(4F012),266130,5927248
Place(2B0F0),2038,33868
Place(3A0E1),22397,342469
Place(5D082),36107,714334
Place(6G012),42506,863664
Place(1D096),14956,298428
Place(4D060),478837,11216291
Place(5G095),752,10695
Place(3D094),136316,3069420
Place(6G0B1),1041,11324
Place(0A0B3),927,10222
Place(3E0B1),14586,238231
Place(4D0E0),23,241
Place(4C023),330672,7067225
Place(6G023),15872,269025
Place(6D071),121360,2103362
Place(3C031),451690,10355873
Place(2B042),269605,6013701
Place(3A0B0),3397,36738
Place(4C020),68401,1366904
Place(3G0E0),681,6365
Place(5C060),233396,4750304
Place(3C0A3),107,1089
Place(2F0E3),204,2060
Place(0C091),2512,39733
Place(1C040),362190,7776101
Place(5F012),27208,523969
Place(5A097),518,6915
Place(2G0F0),119,1197
Place(6B090),31283,567519
Place(0E094),501955,12278732
Place(4F042),26937,525501
Place(0G0F0),229,3014
Place(2A021),789064,17110520
Place(4F043),78689,1648750
Place(5B092),5000,92474
Place(0A053),401906,9190601
Place(2F042),92952,1842617
Place(3E0A0),1298,16518
Place(0C095),6069,107602
Place(5E0F1),168,1903
Place(6E022),284590,6155979
Place(2G093),3992,63600
Place(2C020),90270,1805518
Place(2F081),137816,2915928
Place(4C030),519517,11789891
Place(3D052),578071,12920887
Place(1G020),109461,2355884
Place(1D043),163265,3218889
Place(5A092),439,6079
Place(4F070),74463,1351246
Place(4B013),45397,880634
Place(3F011),56333,1018899
Place(1D0B2),1242,15032
Place(6D013),6411,112549
Place(4G0D0),1108,12096
Place(5G060),647418,12734153
Place(5E080),30593,570717
Place(5E090),10844,205946
Place(5A051),176734,3103787
Place(2D053),83768,1675108
Place(6D061),797013,16055428
Place(5F0B0),1926,21715
Place(0A051),18910,320592
Place(2E012),321523,7301715
Place(2A020),57764,1065998
Place(5C080),21570,411393
Place(0E0E1),99,791
Place(3D031),374212,8569525
Place(6E0B2),685,7315
Place(6G0A3),976,10586
Place(0D082),2715,43605
Place(0F0B0),60648,936292
Place(2D0F1),9,84
Place(4F021),158816,3220729
Place(4F0A0),7860,130062
Place(5D042),92284,1915711
Place(0E051),15192,247217
Place(1C022),216870,4437317
Place(5D0F0),21,184
Place(6E0D0),475,4778
Place(0D0A3),10943,136875
Place(3B071),127274,2333803
Place(6E094),6373,110462
Place(0A070),359616,7757605
Place(4E0E3),12,100
Place(4C0F0),824,13278
Place(5D030),168484,3548099
Place(5D021),11296,186867
Place(1F0B3),506,4997
Place(6C030),75412,1343782
Place(0E090),9753,184217
Place(1A082),115031,2170577
Place(5D0D0),264,2691
Place(1G042),180934,3359629
Place(6D0F1),640,6652
Place(1G0E2),42167,677525
Place(4E080),103825,2233799
Place(5G051),729384,14898235
Place(1D013),22797,421520
Place(2A080),28820,612795
Place(4F081),38710,765059
Place(5C0A0),939,10644
Place(5F0A3),1609,17592
Place(1B095),4384,73446
Place(6G060),127380,2568875
Place(4B050),29846,554627
Place(0B091),945,12855
Place(6B011),123450,2227954
Place(4E071),253033,5138066
Place(1C0E0),797,9446
Place(2A082),55929,1190551
Place(4F096),5534,95329
Place(1E031),434482,9528719
Place(3A052),7560,131878
Place(1C0D0),342,3245
Place(2A0E0),159,1401
Place(2G0A2),324,3231
Place(5C0B1),166,1529
Place(1D0D0),248,2370
Place(6A091),64907,1389626
Place(2D0E0),7305,125947
Place(2C011),169002,3798246
Place(2C097),29931,624539
Place(5E060),292867,6116179
Place(4G0A1),3433,43557
Place(3A096),720,10704
Place(2D097),8634,167509
Place(4D031),261324,5757138
Place(3C0F1),12,74
Place(4B0F0),2578,42965
Place(0F013),115934,2096472
Place(0G070),901851,19908117
Place(1E061),439601,9874515
Place(6A093),22857,454292
Place(1B030),75705,1555189
Place(1B050),26577,460382
Place(5B0E0),290,2619
Place(6E082),32981,595084
Place(6F093),1356,20552
Place(5C020),137093,2832226
Place(1D080),28198,571513
Place(4E0F1),6,39
Place(6G022),220018,4838527
Place(0G083),252467,5580548
Place(1D023),12637,211455
Place(1A0A3),42899,674517
Place(0G0B1),549,5692
Place(4G082),24356,524098
Place(0D040),4154,66646
Place(2D010),188986,4290807
Place(2G042),61921,1267527
Place(4B095),11511,205709
Place(4A020),29705,506602
Place(5F043),22475,436182
Place(5B0D0),985,10152
Place(3B093),10489,179072
Place(4E022),73427,1501640
Place(3A010),123241,2208492
Place(6C0E3),145,1240
Place(3B080),166740,3428017
Place(1B082),52139,1008098
Place(2B0D0),1008,11225
Place(6A0B1),1011,11092
Place(3B094),4775,85302
Place(1E082),15388,285012
Place(2F060),323883,6838344
Place(0C0F1),56,502
Place(6C031),87935,1925157
Place(1F0F1),103,935
Place(2A097),3760,60985
Place(3D092),32890,712457
Place(6A0C0),3281,41766
Place(4C010),58565,1207349
Place(3F070),114585,2155952
Place(3E050),209119,4533807
Place(1F082),8995,155689
Place(6C094),8871,148783
Place(2E0F0),28,242
Place(3C0A2),13474,226635
Place(1E097),5336,95127
Place(1C090),16490,315475
Place(3E052),61666,1243044
Place(6D041),222158,4228099
Place(5A083),1421,20748
Place(2E096),9273,180726
Place(4B0A1),695,7431
Place(2F082),116291,2468169
Place(4B091),4909,84212
Place(6C071),38467,668308
Place(3B041),119032,2497316
Place(3D082),247210,5629401
Place(0B031),813775,16353151
Place(1D061),628331,13114026
Place(3A0B3),4596,52479
Place(5D0B1),240,2418
Place(3B097),13895,280442
Place(2D0F0),2,3
Place(1F071),44203,774875
Place(6G0A1),403,4132
Place(0D053),1468538,32502335
Place(4A053),61699,1176740
Place(2A031),191198,3675517
Place(2E0B2),227,2339
Place(3F0B3),829,8596
Place(4B043),53953,1097153
Place(5B0F1),57,643
Place(6C096),180322,4297885
Place(1C010),38879,783564
Place(2B0B2),647,7054
Place(0D010),2760,44143
Place(4D022),94202,1932653
Place(1E096),3734,63250
Place(5E0B3),294,3046
Place(6B081),90515,1657462
Place(0A092),38094,782087
Place(2C041),97298,2107029
Place(0G081),303169,6942041
Place(2A012),13903,229395
Place(3D020),73782,1517675
Place(4B052),82656,1571414
Place(2G0E2),371,3655
Place(1F061),231723,5004945
Place(1B071),18632,335577
Place(3_000),17965134,448564696
Place(1F010),56150,1137629
Place(4B041),48219,968223
Place(2G0E1),70,626
Place(5E0B2),464,4744
End,16722184,398449978
Place(2A011),118326,2374053
Place(4D050),277450,5887952
Place(3E0F0),17,169
Place(2D042),229086,5037476
Place(0D0E3),650,5847
Place(2E095),23505,472542
Place(5A050),94547,1644841
Place(6A053),14823,246273
Place(3C0A1),295,3406
Place(1F095),1637,26834
Place(1F0A0),421,4476
Place(4G0B2),659,6514
Place(1B0A1),3697,44518
Place(0G091),29832,593332
Place(6A0B0),1511,17625
Place(2B0C0),254,2385
Place(2G092),3663,56614
Place(5G020),9703,163479
Place(2F090),2214,37166
Place(6A071),564086,12327119
Place(0G0B2),642,6655
Place(6B042),4528,71673
Place(1C0B3),355,3591
Place(3F060),134377,2701115
Place(6C095),198573,4421097
Place(3B070),63011,1183960
Place(3B0B0),574,5330
Place(2E0B1),231,2546
Place(1C0A2),2490,32892
Place(4F0D0),614,6891
Place(5B060),452310,9285729
Place(0E092),137759,2955611
Place(4C097),128840,2804818
Place(2B071),131180,2476431
Place(3D050),285985,6203398
Place(3D042),118273,2625758
Place(2E013),111509,2407808
Place(6E0B0),441,4304
Place(0A061),594040,13593040
Place(6F0B2),2240,23891
Place(3C0E2),107,1040
Place(0E071),43028,739986
Place(5D093),20707,414307
Place(5G053),53912,878978
Place(0F010),2537,35266
Place(5E020),60742,1196785
Place(1B011),6569,114898
Place(0C010),33795,647816
Place(4G010),10887,173766
Place(1B0F1),639,8680
Place(2G043),15745,275072
Place(1C041),125872,2670448
Place(0G022),618341,13758278
Place(1C083),176520,3740405
Place(2G090),6175,104218
Place(1D0A3),4287,55342
Place(5B093),1874,29696
Place(1G043),1811,26251
Place(3D0F0),11,98
Place(6B082),1469,20660
Place(2F0E0),18100,312615
Place(2C0B2),189,1938
Place(3D0A0),11745,205264
Place(4F053),65437,1261337
Place(4G0E1),446,4386
Place(2D091),148725,3370268
Place(2E021),437468,9551397
Place(1G050),1215,15962
Place(2F031),429398,9167764
Place(0C040),19012,334086
Place(4D052),107492,2213586
Place(6C0B3),527,5571
Place(1A0B2),12551,164830
Place(6B0B1),91980,1492904
Place(5E021),121029,2415068
Place(2G070),895765,19023643
Place(2C095),35905,743956
Place(0F012),110162,1945132
Place(6D092),570,8377
Place(3D093),6327,123470
Place(5F080),49126,929571
Place(1F0A1),1843,20456
Place(1A0C0),2755,29719
Place(3C0B0),174,1778
Place(2D0D0),189,1804
Place(6E053),14749,232750
Place(1B097),29680,588545
Place(1F0A3),908,9730
Place(2E0A3),295,3189
Place(2F053),150468,3028073
Place(1G0E1),1727,17261
Place(1C0E1),82,708
Place(4D042),222217,5041249
Place(2A0A2),553,5835
Place(0G021),16573,278370
Place(6B013),1886,27372
Place(3B0E1),256,2394
Place(1A061),6873,101342
Place(6G021),327809,7744408
Place(0D0F1),664,7144
Place(6D083),365840,7465074
Place(4D061),704974,16192627
Place(6A081),47578,995821
Place(1E090),26525,541975
Place(5B011),80166,1530149
Place(6A030),612918,13857560
Place(0A021),14881,251425
Place(2D050),90919,1866867
Place(1E0B3),233,2382
Place(4E0A0),9231,150547
Place(4G080),46618,980004
Place(5G094),749,10621
Place(1G060),425870,7949990
Place(6F011),147352,2722369
Place(3E083),207268,4688486
Place(1A0E0),951,9243
Place(2F041),42440,832819
Place(2A0B3),734,7417
Place(4C081),183776,4083562
Place(6E0E3),468,4842
Place(2E091),71924,1602543
Place(5C023),30888,575861
Place(3C051),211309,4488830
Place(5A096),373,4943
Place(4F0E2),66,726
Place(4A0A1),12358,184026
Place(6F080),1404,20617
Place(3E022),127579,2630864
Place(4G083),77539,1498571
Place(2B070),126529,2363453
Place(4G0B1),353,3196
Place(2F071),125386,2383478
Place(6A061),286081,6521481
Place(1C011),56100,1162507
Place(4C050),305471,6467220
Place(1F053),23248,395046
Place(6E040),474178,10987399
Place(2G0B0),220448,4152822
Place(0A052),17728,299085
Place(5C050),118710,2407054
Place(1B0A3),767,8339
Place(4F051),171999,3520012
Place(3A081),1465,21498
Place(1B021),8017,135463
Place(2E041),198306,4432769
Place(2G095),1959,29080
Place(6G0D0),628,6825
Place(2C090),54812,1139158
Place(4F011),191946,4031946
Place(4A071),75052,1378152
Place(3C023),80517,1610802
Place(4F0E3),302,2987
Place(3C040),210557,4759236
Place(1F023),55179,1035894
Place(2D0B3),274,3053
Place(5D023),61670,1240294
Place(1B093),90997,1932904
Place(2A051),376283,8204322
Place(3F0A2),1856,25737
Place(1F093),27917,570919
Place(1A053),858894,17300254
Place(3A097),258,3511
Place(0E0E3),348,3449
Place(2A092),5058,78065
Place(2E020),167654,3512299
Place(3G013),2420,36525
Place(5B0E1),194,1813
Place(4B0C0),19798,327810
Place(2G051),10418,171481
Place(5F094),1587,27509
Place(6E050),234938,4830605
Place(4G021),8392,135120
Place(3F0A0),667,6370
Place(0F096),334,4451
Place(5E013),66478,1352519
Place(2A0F1),50,432
Place(2G081),82218,1591417
Place(4C060),536530,12272822
Place(5G0A2),2379,25310
Place(3B0D0),897,9122
Place(5F050),13017,234938
Place(0A0A2),825,8819
Place(5D095),20229,358924
Place(3B0F0),12,117
Place(1G092),22853,394154
Place(4C0E0),83,862
Place(0G0A1),653,6775
Place(5B082),41123,778789
Place(4B053),71499,1398884
Place(4B021),251815,5043465
Place(6C011),45665,899131
Place(5A060),922273,18369267
Place(2B013),122226,2482084
Place(3A030),452771,8608548
Place(3C061),589708,13813553
Place(0A083),249200,5707853
Place(5A052),1344,17017
Place(3C0B3),31,315
Place(6B094),412,5430
Place(6G0A0),643,6787
Place(5B070),430232,8376790
Place(5D020),118768,2297851
Place(5E095),55126,1126739
Place(1G0A2),1990,20936
Place(3G020),2624,39460
Place(2G052),15875,264490
Place(4F0E0),22,158
Place(2B051),276832,5844509
Place(3A080),87729,1577408
Place(3D053),100568,2105219
Place(1D071),96891,1730689
Place(4A081),8290,124442
Place(4C0A1),320,3865
Place(6F042),6570,109702
Place(6B096),25624,433674
Place(5B051),41144,719419
Place(5E012),168242,3655778
Place(1B092),9277,159810
Place(3B061),181154,3890930
Place(0C080),24035,426019
Place(1C082),27689,524084
Place(6G081),199315,4414011
Place(6E021),28017,482732
Place(6E012),42603,851344
Place(1F090),1188,19242
Place(5C0B0),311,3301
Place(4E051),177047,3687766
Place(4D094),80778,1759765
Place(1F040),4748,82010
Place(5B0C0),3470,42229
Place(1B023),50801,913552
Place(6E0B3),673,7023
Place(6C080),41171,755237
Place(1A092),475,7093
Place(0D093),23869,408818
Place(0D091),291,3943
Place(1D0A2),546,5210
Place(5E040),61569,1231163
Place(3F012),89271,1701348
Place(4B0A3),281,2809
Place(4A070),49782,842164
Place(3A0F1),331,3259
Place(0C081),23570,499093
Place(2G023),10532,167235
Place(0E011),69824,1357281
Place(0E080),10763,176089
Place(2D095),52699,1118771
Place(4C091),19106,388641
Place(3F043),95372,2043144
Place(5F020),73970,1379333
Place(5A0E0),830,7777
Place(6G0E2),486,5231
Place(5E053),67108,1289811
Place(0E041),23175,417229
Place(0D090),554,7840
Place(1F083),143934,3003231
Place(1F013),105245,2039949
Place(1B090),8040,133640
Place(4F0A1),253,2544
Place(0E022),274863,5759925
Place(3G0D0),633723,12643740
Place(5C0E0),141,1267
Place(1F041),68431,1272860
Place(5A043),1322452,28999669
Place(4A093),105372,2264091
Place(4F071),197528,3937806
Place(2F023),93491,1882080
Place(0B092),22441,382056
Place(0E0D0),1096,11365
Place(5F095),12631,232527
Place(5F083),82093,1684259
Place(6G050),17669,294768
Place(3E0E1),5500,93727
Place(6F082),1947,30531
Place(2B0A2),1727,21912
Place(0F040),5469,83309
Place(3F031),359645,7837746
Place(6A096),4943,91043
Place(6E083),28813,608715
Place(4B0B2),654,7208
Place(6E090),218252,5000944
Place(1B012),106361,2081432
Place(0E012),506088,11830972
Place(2A093),98737,2158143
Place(4F0E1),347,3628
Place(6A060),302386,6750689
Place(1A0A1),3216,34811
Place(3E0C0),17590,300651
Place(5G092),20618,343285
Place(2G041),18220,314676
Place(1A041),2123,30468
Place(4A013),458092,10488012
Place(4C041),280810,6297770
Place(2E0B3),193,2141
Place(3D090),59895,1277801
Place(3D080),118245,2600258
Place(0B094),19508,328661
Place(1D012),22834,428422
Place(0G052),635147,14061930
Place(5C0B2),318,3456
Place(2A0E2),364,3520
Place(2B053),53378,1074484
Place(2B0E3),223,2132
Place(1C0F1),29,229
Place(2D0A2),152,1548
Place(4D0F1),5480,106426
Place(1A090),28472,478336
Place(5B020),54122,980799
Place(0D051),7244,115592
Place(4G052),14823,237984
Place(4F097),9110,175226
Place(1F022),61236,1178849
Place(6A0B3),1821,21297
Place(3B022),131374,2677404
Place(5E0A0),504,5173
Place(0E060),136904,2648805
Place(3D0E1),74,712
Place(5F031),393851,8182154
Place(0A080),161260,3642933
Place(1B0E3),363,3361
Place(6A0E0),236,2344
Place(5A042),4278,64875
Place(0D050),114177,2032988
Place(4E083),150086,3272386
Place(3C050),101957,2123116
Place(0C092),485686,11500266
Place(4B012),150448,3153084
Place(4A041),98766,2008682
Place(6A094),44787,908060
Place(0A090),10479,188466
Place(0A010),49490,978060
Place(5C0F1),73,731
Place(4B0E1),1302,15813
Place(5A0A1),25895,360657
Place(3G0B3),6875,81208
Place(6C042),50009,984698
Place(5D090),2277,37681
Place(0E050),719954,16474585
Place(4E0B3),12119,197196
Place(6F0F0),480,5108
Place(1B0C0),1076,11264
